Tue Mar 26 14:56:33 2024    program.prof

         2897415 function calls (2871004 primitive calls) in 375.989 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    623/1    0.007    0.000  375.989  375.989 {built-in method builtins.exec}
        1    0.000    0.000  375.989  375.989 src/main.py:1(<module>)
        1    0.000    0.000  374.690  374.690 src/main.py:3(main)
        1    0.000    0.000  374.612  374.612 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_control.py:43(start_main_gui)
        1    0.000    0.000  367.428  367.428 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:1483(mainloop)
        1  357.355  357.355  367.428  367.428 {method 'mainloop' of '_tkinter.tkapp' objects}
42178/42032    0.197    0.000   10.073    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:1943(__call__)
42034/42012    0.203    0.000    7.267    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:859(callit)
        1    0.000    0.000    7.119    7.119 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\arduino_control.py:20(connect_to_arduino)
        3    0.000    0.000    7.103    2.368 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\arduino_control.py:74(identify_arduino)
        3    6.001    2.000    6.001    2.000 {built-in method time.sleep}
137280/137193    5.130    0.000    5.133    0.000 {method 'call' of '_tkinter.tkapp' objects}
    35514    0.101    0.000    3.102    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_control.py:219(<lambda>)
    35521    0.484    0.000    3.001    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_control.py:198(check_licks_above_TTC_threshold)
    42045    0.274    0.000    2.445    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:847(after)
     3132    0.017    0.000    2.298    0.001 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\main_gui.py:445(<lambda>)
     3133    0.159    0.000    2.281    0.001 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\main_gui.py:425(update_clock_label)
     9708    0.031    0.000    1.828    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:1695(configure)
     9708    0.113    0.000    1.797    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:1682(_configure)
        3    0.000    0.000    1.721    0.574 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_schedule.py:103(show_stimuli_table)
       31    0.000    0.000    1.315    0.042 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:1372(update_idletasks)
    728/1    0.005    0.000    1.299    1.299 <frozen importlib._bootstrap>:1165(_find_and_load)
    724/1    0.003    0.000    1.299    1.299 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    695/1    0.003    0.000    1.299    1.299 <frozen importlib._bootstrap>:666(_load_unlocked)
    597/1    0.002    0.000    1.298    1.298 <frozen importlib._bootstrap_external>:934(exec_module)
   1669/2    0.001    0.000    1.298    0.649 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    1.298    1.298 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_control.py:1(<module>)
        2    0.000    0.000    1.203    0.601 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\main_gui.py:377(<lambda>)
    42079    0.767    0.000    1.164    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:1569(_register)
        3    0.000    0.000    1.009    0.336 {method 'readline' of '_io._IOBase' objects}
       15    1.009    0.067    1.009    0.067 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\serial\serialwin32.py:262(read)
     3375    0.045    0.000    0.963    0.000 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_control.py:151(process_queue)
   509/58    0.001    0.000    0.936    0.016 {built-in method builtins.__import__}
 1038/468    0.002    0.000    0.833    0.002 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.649    0.649 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\data_window.py:1(<module>)
  2622/12    0.011    0.000    0.592    0.049 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:2633(destroy)
    70809    0.220    0.000    0.580    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:588(get)
        1    0.000    0.000    0.558    0.558 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\experiment_control_window.py:111(<lambda>)
        1    0.000    0.000    0.558    0.558 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\data_management.py:64(initialize_stimuli_dataframe)
      201    0.002    0.000    0.553    0.003 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_control.py:157(process_data)
      801    0.015    0.000    0.552    0.001 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexing.py:867(__setitem__)
      195    0.006    0.000    0.547    0.003 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_control.py:182(send_lick_data_to_dataframe)
        1    0.000    0.000    0.546    0.546 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\data_management.py:1(<module>)
        1    0.000    0.000    0.528    0.528 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\__init__.py:1(<module>)
        3    0.013    0.004    0.517    0.172 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_schedule.py:159(populate_stimuli_table)
1822/1710    0.029    0.000    0.479    0.000 {built-in method builtins.__build_class__}
     2620    0.012    0.000    0.464    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:2616(__init__)
     2466    0.003    0.000    0.451    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:3196(__init__)
  805/801    0.022    0.000    0.422    0.001 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\indexing.py:1747(_setitem_with_indexer)
    42042    0.121    0.000    0.376    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:690(deletecommand)
      597    0.005    0.000    0.334    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
    71267    0.328    0.000    0.328    0.000 {method 'globalgetvar' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.317    0.317 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\pyplot.py:1(<module>)
        7    0.000    0.000    0.307    0.044 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\data_management.py:250(save_licks)
      105    0.001    0.000    0.305    0.003 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\artist.py:159(_update_set_signature_and_docstring)
        8    0.000    0.000    0.304    0.038 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_control.py:49(initial_time_interval)
      104    0.000    0.000    0.300    0.003 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\artist.py:126(__init_subclass__)
        8    0.000    0.000    0.297    0.037 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\main_gui.py:453(update_on_new_trial)
        1    0.000    0.000    0.283    0.283 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\pandas\core\api.py:1(<module>)
        1    0.000    0.000    0.251    0.251 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\figure.py:1(<module>)
        1    0.000    0.000    0.238    0.238 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\projections\__init__.py:1(<module>)
      117    0.000    0.000    0.237    0.002 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\artist.py:1837(kwdoc)
        3    0.000    0.000    0.236    0.079 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_control.py:148(<lambda>)
    42095    0.229    0.000    0.229    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
        2    0.000    0.000    0.224    0.112 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_control.py:222(start_button_handler)
       17    0.000    0.000    0.220    0.013 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:1368(update)
       10    0.000    0.000    0.218    0.022 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_schedule.py:60(update_row_color)
    15098    0.140    0.000    0.206    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:1524(_options)
        1    0.014    0.014    0.205    0.205 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_control.py:244(stop_program)
      117    0.005    0.000    0.203    0.002 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\artist.py:1598(pprint_setters)
    38664    0.031    0.000    0.190    0.000 C:\Users\Chad Samuelsen\AppData\Local\Programs\Python\Python311\Lib\tkinter\__init__.py:883(after_cancel)
        8    0.000    0.000    0.190    0.024 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\src\program_schedule.py:42(update_licks_and_TTC_actual)
        1    0.000    0.000    0.189    0.189 C:\Users\Chad Samuelsen\Documents\Photologic-Experiment-Rig\Code\Photologic Rig Main Application Code\venv\Lib\site-packages\matplotlib\backends\backend_tkagg.py:1(<module>)
